,latitude,longitude,trading_name
18,53.3474578,-6.260248799999999,O'connells
179,53.3484631,-6.260295699999999,The Oval
364,53.3483235,-6.2590740999999985,Grand Central
366,53.34864739999999,-6.2588423,Madigans
365,53.348342,-6.258687999999999,Wynns Hotel
370,53.348743000000006,-6.257746,The Flowing Tide
371,53.349059,-6.257921,Pipers Corner
375,53.35026510000001,-6.2583654000000015,The Confession Box
376,53.35017999999999,-6.259359,Madigan's
180,53.35042499999999,-6.2598043,Brannigans
9,53.35144010000001,-6.2604011,Madigans
7,53.3514192,-6.260858199999999,Riu Plaza The Gresham Dublin
12,53.35197300000001,-6.262469400000001,Conways
2,53.3530919,-6.2631779000000005,Tgi Friday's
8,53.35218199999999,-6.2608479999999975,The Living Room
6,53.35246,-6.260899999999999,Murays
4,53.3530301,-6.2609141999999975,T/a The Shakespeare Bar
1,53.3531436,-6.260370099999999,The Metro
0,53.35339949999999,-6.2601605000000005,O'reillys (the Deers Head)
503,53.35368039999999,-6.259422799999999,Booze2go
504,53.35520090000001,-6.2604042,Stoneys
184,53.35698829999999,-6.2646411,The Findlater
514,53.3571652,-6.2639184000000006,Jim Beam's
513,53.3572304,-6.2638485999999975,Aurora Cafe Bar
511,53.357308,-6.263601,Kavanaghs Pub
511,53.357308,-6.263601,Kavanaghs Pub
508,53.3590068,-6.2617002999999976,The Auld Triangle
510,53.3598387,-6.260819199999999,The Big Tree
506,53.3610675,-6.2595344000000015,T/a The Red Parrot
507,53.36277020000001,-6.2603022999999975,Patrick Mcgrath
501,53.3634752,-6.2580402,Quinns Of Drumcondra
500,53.3670578,-6.2556917,Kennedys
499,53.3674505,-6.2559752,Fagans
498,53.3711968,-6.2532538,The Cat And Cage
497,53.37243549999999,-6.252243599999999,The Ivy House /patrick Carthy And Sons
496,53.373737,-6.2687765,Tolka House
495,53.38211999999999,-6.276583599999999,The Quarry Public House
494,53.38245209999999,-6.277492899999999,Cremore House
493,53.38533289999999,-6.2656215,The Slipper Public House
492,53.3957892,-6.2627270999999975,Axis
491,53.3897175,-6.2712583,T/a The Autobahn
489,53.39333209999999,-6.2860111,The Willows
490,53.3906257,-6.288092099999999,Martin's Bar
488,53.4013211,-6.2973171,The Deputy Lord Mayor
486,53.3902183,-6.2999719,The Shamrock Lodge
487,53.38957509999999,-6.298618,Drogheda Lodge/the Full Shilling
485,53.3862402,-6.2969933,The Bottom Of The Hill
484,53.3876284,-6.301254,Village Inn
483,53.3705079,-6.323885199999999,Breffni Inn
482,53.3658173,-6.3229389000000005,The Hole In The Wall
481,53.36507629999999,-6.3190053,Cumiskeys
480,53.3673965,-6.2985614000000005,The Cabra House
479,53.36668510000001,-6.292013400000001,Mcgraths
478,53.36259339999999,-6.290322199999999,The Homestead
477,53.36120589999999,-6.282972600000001,Downeys
476,53.369637,-6.271989800000001,John Kavanagh
474,53.3668394,-6.2711476999999975,The Temple Bar Tavern
473,53.3652057,-6.271908199999999,P. Hedigan - The Brian Boru
475,53.36469,-6.2713980000000005,The Porterhouse North
472,53.36089980000001,-6.272478,John Doyles Pub
470,53.3609994,-6.2725845,The Hut
468,53.36099129999999,-6.272937100000001,The Bohemian House
469,53.359796,-6.272818300000001,Phibsborough House
471,53.3585118,-6.273071799999999,The Mill Public House
467,53.356588,-6.273832,Mcgowans Of Phibsboro
186,53.3543288,-6.2720458999999975,Cumiskeys Lounge Bar
464,53.3542718,-6.2712582,Paddy Murphy's Bar
3,53.3536064,-6.2698128,Thomas O'brennan Public House
466,53.356147,-6.267873499999999,The Berkley
185,53.3554937,-6.2659705999999975,The Meeting Point Public House
183,53.3556531,-6.2652974000000015,Maye's
182,53.3554643,-6.2657227,Delahuntys
