latitude,longitude,trading_name
53.3434757,-6.2596858000000015,O'donoghue's Public House
53.34285190000001,-6.2602838,Mary's Bar And Hardware
53.342065500000004,-6.2640050999999985,The Market Bar
53.342241200000004,-6.2626221,J Grogans Castle Lounge
53.34265860000001,-6.2623231000000015,Dakota
53.3431292,-6.2623674000000005,The Green Hen
53.34300409999999,-6.258944400000001,The Porterhouse Inn
53.3421354,-6.2507085,Kennedys Pub
53.342039,-6.252503,Lincoln's Inn
53.34288069999999,-6.2606946,The Restaurant
53.3430991,-6.261746400000001,The International Bar
53.342955599999996,-6.262162200000001,Rush
53.341221,-6.2610025,Mcdaids
53.341266000000005,-6.2638729999999985,Hairy Lemon
53.345894799999996,-6.2596063,The Palace Bar
53.34571949999999,-6.259775599999998,The Temple Bar Inn Hotel
53.345813899999996,-6.2578758,Bowes
53.34587809999999,-6.2608664,The Hard Rock Cafe
53.34587,-6.251986799999999,Ned's Of Townsend Street
53.3457804,-6.257470199999998,Doyles
53.344882999999996,-6.2524739999999985,O'neills
53.34390519999999,-6.2607612999999995,O'neills
53.34314269999999,-6.2621199,The Old Stand
53.3437628,-6.262862699999999,4 Dame Lane
53.3438235,-6.2636588,The Stag's Head
53.343824399999995,-6.2639606,Dame Tavern
53.3437466,-6.2646533,The George
53.343077,-6.2700589,The Lord Edward
53.3397608,-6.2759031,Shanahan's
53.3426397,-6.2789817,Baker's
53.342819999999996,-6.2771938999999985,Tom Kennedy's (public House)
53.34288660000001,-6.279246400000001,The Clock
53.34307339999999,-6.277024099999998,The Thomas House
53.3469973,-6.2800461,Frank Ryan's And Son
53.343154000000006,-6.2816160000000005,Arthur's
53.3449326,-6.2763323,The Brazen Head
53.34709119999999,-6.280309,The Dice Bar
53.348418,-6.278209700000001,Formerly Chief O'neill's
53.3481865,-6.2702304999999985,The Market Hacienda Bar
53.3482748,-6.2688625,Slatterys
53.348463100000004,-6.260295699999999,The Oval
53.35042499999999,-6.2598043,Brannigans
53.350356000000005,-6.267389,The Woolshed Baa And Grill
53.355464299999994,-6.2657226999999995,Delahuntys
53.3556531,-6.265297400000001,Maye's
53.35698829999999,-6.2646410999999995,The Findlater
53.355493700000004,-6.265970599999998,The Meeting Point Public House
53.3543288,-6.272045899999998,Cumiskeys Lounge Bar
53.352073600000004,-6.2798373,The Barbers
53.3542431,-6.2867177000000005,Hynes Bar
53.356146900000006,-6.287952400000001,The City Arms
53.353356000000005,-6.285852999999999,Kavanagh's
53.35105600000001,-6.282432599999999,Tommy O'gara's
53.3511412,-6.277724299999999,The Richmond
53.350846700000005,-6.282031799999999,The Glimmerman
53.3503765,-6.2816892000000015,Walshs Pub
53.34710949999999,-6.2836943,Coin And Button
53.343411399999994,-6.2870906,The Pilot Brewery
53.3435385,-6.2891176,Mccanns
53.3481564,-6.2932568,Reas Public House
53.3481667,-6.293595900000001,Ryans Of Parkgate Street
53.348166000000006,-6.2940051,Nancy Hands
53.3481667,-6.293595900000001,Ryans
53.348210200000004,-6.2944955999999985,Liam Walsh's
53.34165260000001,-6.3036847,The Old Royal Oak
53.3417399,-6.3074832,The Patriots Inn
53.3406905,-6.3107102,The Glen Of Aherlow
53.33953760000001,-6.3187335,Timothy Crough
53.3402577,-6.3167363,Mcdowells
53.33581949999999,-6.3120599,The Marble Arch
53.336599,-6.2992162,The Bird Flanagan
53.3362037,-6.2979189999999985,Charlie Byrnes
53.33378489999999,-6.290686699999998,Lowes
53.332225699999995,-6.292779899999998,The Barn House
53.330043700000004,-6.300040599999999,Dunne Stores
53.328683700000006,-6.303331299999999,The Gate Bar
53.3274422,-6.3061957,The Old County Bar
53.3280921,-6.3049954,Shearys
53.3245424,-6.2964107999999985,The Four Roads
53.3206345,-6.2920995999999985,The Stoneboat 35/37 Sundrive Road
53.3203831,-6.2789739,Rosie O'gradys
53.323321400000005,-6.2802047,Mcgowans Of Harold's Cross
53.3237063,-6.2785762,"Peggy Kellys/ Dsix Wine, Beer And Spirits"
53.321655500000006,-6.2795147,Mcgarrys
53.3120691,-6.2745918,The 108
53.31131460000001,-6.2830311,The Terenure Inn
53.31004429999999,-6.283267400000001,Vaughan's Eagle House
53.30967159999999,-6.28454,Brady's Of Terenure
53.3141769,-6.2963949999999995,Kcr House
53.30926899999999,-6.305369199999999,The Two Sisters
53.3077832,-6.319392099999999,The Pines
53.3077832,-6.319392099999999,The Laurels
53.293851000000004,-6.324342,The Spawell Golf And Leisure Centre
53.30700649999999,-6.3367825,The Traders Public House
53.31644,-6.333025,The Cherry Tree
53.317409999999995,-6.332359200000001,The Kestrel House
53.3202407,-6.3167852999999985,The Village Inn
53.316056,-6.317396,The Submarine Bar
53.32421579999999,-6.3254161999999985,Eleanora's
53.3240713,-6.326490799999998,The Black Forge
53.32385300000001,-6.3284806,The Halfway House
53.32825379999999,-6.344200900000001,The Kylemore House
53.33130229999999,-6.343033399999999,The Cottage Inn
53.3345882,-6.327825900000001,Blackhorse Inn
53.3377747,-6.328836400000001,Slatts
53.341046,-6.3351638,Colgans
53.342543299999996,-6.3301276,Ruby Finnegans
53.34296879999999,-6.3376117,The Laurence Lounge
53.34959250000001,-6.3443438,The Villager
53.348344499999996,-6.342457,Mullingar House
53.34769989999999,-6.345867,Aussie Bar And Restaurant
53.34255329999999,-6.3587612,The 79 Inn
53.34247560000001,-6.353618099999999,Chasers
53.3427176,-6.3565707,Fowler's
53.34169820000001,-6.356709299999999,Younges
53.342191099999994,-6.3571860000000004,Downeys
53.35006139999999,-6.3774345,Silver Granite
53.356434400000005,-6.370762,The Palmerstown House
53.359055000000005,-6.3586481,The Anglers Rest
53.37285670000001,-6.3625105,Myos
53.372448999999996,-6.3605559000000005,Brasserie Gastropub 15
53.383158900000005,-6.380830800000001,The Roselawn Inn
53.385909,-6.374389,The Vineyard
53.384010100000005,-6.367768,Brady's Castleknock Inn
53.3848948,-6.371392699999999,The Bell/davy And Phelans Bar
53.386826,-6.377637,The Greyhound Inn
53.3892629,-6.3887845,The Great Wood
53.3996123,-6.374575800000001,Leonard's Pub
53.4194488,-6.3797315999999995,Park Plaza Tyrrelstown
53.402623999999996,-6.397469999999998,Paidí Ógs
53.39276330000001,-6.419632699999998,Hartstown House
53.395984999999996,-6.4399989999999985,Cuchulainns Of Ongar
53.37357629999999,-6.4309083,Luttrellstown Castle Clubhouse
53.3720083,-6.3891157,The Carpenter
53.365775,-6.395446,Castleknock Golf Club
53.362340599999996,-6.3857149999999985,Strawberry Hall
53.356036200000005,-6.3976371,Murrays/ Deadmans Inn
53.3449076,-6.3978677,The Finches
53.32136679999999,-6.393747900000001,The Black Lion
53.32127910000001,-6.393307,The Purty Central
53.321342099999995,-6.3935092000000004,The Black Lion
